variant,k,stratum,domain,n,accuracy
days_months,0,heldout,all,100,1.0
days_months,1,heldout,all,100,1.0
days_months,2,heldout,all,100,1.0
days_months,3,heldout,all,100,1.0
days_months,4,heldout,all,100,0.79
days_months,5,heldout,all,100,0.85
days_months,6,heldout,all,100,0.97
days_months,7,heldout,all,100,0.77
days_months,8,heldout,all,100,0.56
days_months,9,heldout,all,100,0.86
days_months,10,heldout,all,100,0.81
days_months,11,heldout,all,100,0.91
